"sp","lon","lat"
"Akodon cursor",-36.18,-10.14
"Akodon cursor",-37.29,-10.81
"Akodon cursor",-37.42,-11.26
"Akodon cursor",-39.04,-13.53
"Akodon cursor",-39.14,-14.02
"Akodon cursor",-39.17,-15.21
"Akodon cursor",-38.94,-16.02
"Akodon cursor",-39.3,-16.51
"Akodon cursor",-39.84,-17.17
"Akodon cursor",-39.67,-17.29
"Akodon cursor",-43.35,-19.87
"Akodon cursor",-43.37,-19.9
"Akodon cursor",-40.53,-19.95
"Akodon cursor",-40.58,-19.95
"Akodon cursor",-40.6,-19.96
"Akodon cursor",-40.54,-19.97
"Akodon cursor",-40.58,-19.97
"Akodon cursor",-40.46,-20.37
"Akodon cursor",-40.45,-20.38
"Akodon cursor",-40.47,-20.38
"Akodon cursor",-41.87,-21.48
"Akodon cursor",-42.76,-22.47
"Akodon cursor",-43.01,-22.47
"Akodon cursor",-42.86,-22.51
"Akodon cursor",-42.88,-22.51
"Akodon cursor",-42.79,-22.52
"Akodon cursor",-42.35,-22.53
"Akodon cursor",-42.33,-22.54
"Akodon cursor",-42.8,-22.54
"Akodon cursor",-42.95,-22.56
"Akodon cursor",-42.97,-22.56
"Akodon cursor",-42.9,-22.58
"Akodon cursor",-42.86,-22.59
"Akodon cursor",-43.44,-22.92
"Akodon cursor",-43.46,-22.94
"Akodon cursor",-42.83,-22.95
"Akodon cursor",-44.09,-22.98
"Akodon cursor",-46.96,-23.67
"Akodon cursor",-48.1,-24.22
"Akodon cursor",-47.92,-25.07
"Akodon cursor",-48.64,-25.61
"Akodon cursor",-48.6,-25.66
"Akodon cursor",-48.6,-25.74
"Akodon cursor",-48.51,-27.6
"Akodon cursor",-35.07,-7.87
"Akodon cursor",-48.75,-22.17
"Akodon cursor",-48.03,-25.2
"Akodon cursor",-47.93,-25.16
"Akodon cursor",-47.85,-24.38
"Akodon cursor",-47.55,-24.72
"Akodon cursor",-47.05,-23.97
"Akodon cursor",-45.26,-16.51
"Akodon cursor",-44.83,-23.37
"Akodon cursor",-44.62,-22.43
"Akodon cursor",-44.58,-23.03
"Akodon cursor",-44.53,-22.32
"Akodon cursor",-44.51,-23.02
"Akodon cursor",-44.38,-22.88
"Akodon cursor",-44.37,-22.8
"Akodon cursor",-44.1,-22.92
"Akodon cursor",-44.02,-22.52
"Akodon cursor",-43.75,-18.09
"Akodon cursor",-43.73,-22.53
"Akodon cursor",-43.71,-22.61
"Akodon cursor",-43.43,-19.03
"Akodon cursor",-43.32,-21.97
"Akodon cursor",-43.27,-19.61
"Akodon cursor",-43.22,-22.85
"Akodon cursor",-42.97,-22.41
"Akodon cursor",-42.88,-20.75
"Akodon cursor",-42.87,-22.48
"Akodon cursor",-42.81,-16.62
"Akodon cursor",-42.77,-17.13
"Akodon cursor",-42.75,-22.52
"Akodon cursor",-42.75,-20.37
"Akodon cursor",-42.73,-22.42
"Akodon cursor",-42.7,-18.82
"Akodon cursor",-42.69,-17.08
"Akodon cursor",-42.67,-22.77
"Akodon cursor",-42.65,-22.03
"Akodon cursor",-42.65,-19.72
"Akodon cursor",-42.53,-22.28
"Akodon cursor",-42.45,-20.72
"Akodon cursor",-42.39,-22.65
"Akodon cursor",-42.28,-20.73
"Akodon cursor",-42.05,-22.23
"Akodon cursor",-42,-20.13
"Akodon cursor",-41.86,-19.07
"Akodon cursor",-41.72,-20.48
"Akodon cursor",-41.4,-12.55
"Akodon cursor",-41.35,-12.6
"Akodon cursor",-41.26,-12.8
"Akodon cursor",-41.25,-16.72
"Akodon cursor",-41.18,-20.6
"Akodon cursor",-40.82,-18.87
"Akodon cursor",-40.67,-20.37
"Akodon cursor",-40.6,-19.92
"Akodon cursor",-40.47,-19.27
"Akodon cursor",-40.42,-20.27
"Akodon cursor",-40,-18.78
"Akodon cursor",-39.74,-17.54
"Akodon cursor",-39.37,-15.45
"Akodon cursor",-39.17,-14.7
"Akodon cursor",-39.07,-15.3
"Akodon cursor",-39.04,-13.49
"Akodon cursor",-39.01,-15.35
"Akodon cursor",-35.83,-8.72
"Akodon cursor",-35.07,-7.12
"Akodon cursor",-34.98,-7.97
"Akodon montensis",-43.88,-19.63
"Akodon montensis",-40.61,-20.77
"Akodon montensis",-44.85,-20.91
"Akodon montensis",-44.84,-20.92
"Akodon montensis",-50.33,-20.92
"Akodon montensis",-48.01,-21.08
"Akodon montensis",-57.48,-21.08
"Akodon montensis",-44.99,-21.29
"Akodon montensis",-44.99,-21.3
"Akodon montensis",-44.56,-21.58
"Akodon montensis",-44.56,-21.59
"Akodon montensis",-48.17,-21.78
"Akodon montensis",-48.77,-22.18
"Akodon montensis",-42.72,-22.2
"Akodon montensis",-55.28,-22.25
"Akodon montensis",-47.48,-22.36
"Akodon montensis",-42.87,-22.38
"Akodon montensis",-44.72,-22.38
"Akodon montensis",-52.37,-22.4
"Akodon montensis",-47.55,-22.4
"Akodon montensis",-42.53,-22.43
"Akodon montensis",-52.28,-22.52
"Akodon montensis",-46.92,-22.72
"Akodon montensis",-44.68,-22.83
"Akodon montensis",-43.44,-22.93
"Akodon montensis",-45.08,-23.32
"Akodon montensis",-48.47,-23.34
"Akodon montensis",-48.44,-23.39
"Akodon montensis",-45.23,-23.43
"Akodon montensis",-46.96,-23.67
"Akodon montensis",-46.95,-23.68
"Akodon montensis",-46.95,-23.72
"Akodon montensis",-47,-23.74
"Akodon montensis",-47.12,-23.77
"Akodon montensis",-47.67,-23.93
"Akodon montensis",-55.45,-24.12
"Akodon montensis",-56.42,-24.12
"Akodon montensis",-55.32,-24.13
"Akodon montensis",-55.43,-24.15
"Akodon montensis",-55.7,-24.15
"Akodon montensis",-55.27,-24.15
"Akodon montensis",-55.37,-24.15
"Akodon montensis",-48.1,-24.22
"Akodon montensis",-48.33,-24.29
"Akodon montensis",-54.65,-24.45
"Akodon montensis",-55.35,-24.54
"Akodon montensis",-54.47,-24.82
"Akodon montensis",-56.48,-24.98
"Akodon montensis",-53.65,-25.07
"Akodon montensis",-57.32,-25.1
"Akodon montensis",-48.97,-25.48
"Akodon montensis",-55.48,-25.55
"Akodon montensis",-54.57,-25.58
"Akodon montensis",-48.6,-25.74
"Akodon montensis",-54.55,-25.97
"Akodon montensis",-56.83,-26.07
"Akodon montensis",-48.55,-26.26
"Akodon montensis",-51.33,-26.43
"Akodon montensis",-55.76,-26.46
"Akodon montensis",-55.88,-26.48
"Akodon montensis",-53.98,-26.52
"Akodon montensis",-58.1,-26.55
"Akodon montensis",-58.07,-26.63
"Akodon montensis",-49.67,-26.7
"Akodon montensis",-49.1,-27.05
"Akodon montensis",-54.95,-27.08
"Akodon montensis",-51.78,-27.14
"Akodon montensis",-51.73,-27.17
"Akodon montensis",-58.38,-27.18
"Akodon montensis",-48.51,-27.53
"Akodon montensis",-48.51,-27.6
"Akodon montensis",-55.32,-27.6
"Akodon montensis",-52.22,-28.04
"Akodon montensis",-52.19,-28.32
"Akodon montensis",-50.3,-29.27
"Akodon montensis",-50.2,-29.32
"Akodon montensis",-49.76,-29.37
"Akodon montensis",-50.19,-29.38
"Akodon montensis",-50.39,-29.42
"Akodon montensis",-50.15,-29.43
"Akodon montensis",-50.21,-29.48
"Akodon montensis",-50.2,-29.49
"Akodon montensis",-50.11,-29.51
"Akodon montensis",-53.85,-29.79
"Akodon montensis",-51.03,-30.23
"Akodon montensis",-50.35,-30.38
"Brucepattersonius iheringi",-48.65,-27.1
"Brucepattersonius iheringi",-48.8,-27.7
"Brucepattersonius iheringi",-48.9,-27.7
"Brucepattersonius iheringi",-49.1,-26.9
"Brucepattersonius iheringi",-49.2,-26.9
"Brucepattersonius iheringi",-49.4,-27.4
"Brucepattersonius iheringi",-49.5,-26.7
"Brucepattersonius iheringi",-50,-29.2
"Brucepattersonius iheringi",-50,-28.8
"Brucepattersonius iheringi",-50.4,-25.9
"Brucepattersonius iheringi",-50.4,-26.2
"Brucepattersonius iheringi",-51,-27.5
"Brucepattersonius iheringi",-51.2,-27.1
